x,f,g,h
0.99,-5.32907e-15,-2.69331e-15,1e-16
0.9902,5.32907e-15,1.90332e-16,8.50763e-17
0.9904,-1.06581e-14,-3.18485e-15,7.2139e-17
0.9906,-8.88178e-15,-2.643e-15,6.09569e-17
0.9908,1.77636e-14,-3.07371e-15,5.13219e-17
0.991,-2.13163e-14,-5.12349e-15,4.30467e-17
0.9912,3.55271e-15,-1.93036e-15,3.59635e-17
0.9914,-1.5099e-14,2.79243e-15,2.99218e-17
0.9916,8.88178e-15,-1.77159e-15,2.47876e-17
0.9918,-3.55271e-15,5.83069e-15,2.04414e-17
0.992,8.88178e-16,-3.94699e-15,1.67772e-17
0.9922,-1.77636e-15,-7.04216e-16,1.37011e-17
0.9924,5.32907e-15,-1.60764e-15,1.11303e-17
0.9926,-9.76996e-15,-7.30102e-16,8.99195e-18
0.9928,1.68754e-14,1.17256e-15,7.22204e-18
0.993,-9.76996e-15,-4.92855e-15,5.7648e-18
0.9932,-5.32907e-15,-2.15929e-16,4.57163e-18
0.9934,-4.44089e-15,-3.10821e-15,3.60041e-18
0.9936,9.76996e-15,-2.0473e-15,2.81475e-18
0.9938,5.32907e-15,4.55116e-15,2.1834e-18
0.994,-2.66454e-15,-3.67035e-15,1.67962e-18
0.9942,-5.32907e-15,6.86115e-16,1.28063e-18
0.9944,1.06581e-14,4.24117e-15,9.67173e-19
0.9946,-1.06581e-14,-2.85256e-15,7.2302e-19
0.9948,1.42109e-14,1.76931e-15,5.34597e-19
0.995,-8.88178e-16,3.52333e-15,3.90625e-19
0.9952,7.99361e-15,-5.00261e-15,2.81793e-19
0.9954,-7.99361e-15,4.52074e-16,2.00476e-19
0.9956,-1.06581e-14,1.31336e-15,1.40482e-19
0.9958,4.44089e-15,1.98159e-15,9.68265e-20
0.996,4.44089e-15,1.80325e-16,6.5536e-20
0.9962,0,-2.59996e-16,4.34779e-20
0.9964,-5.32907e-15,1.71508e-15,2.82111e-20
0.9966,-7.10543e-15,-4.28828e-15,1.78579e-20
0.9968,8.88178e-16,-5.43975e-16,1.09951e-20
0.997,4.44089e-15,-4.53114e-15,6.561e-21
0.9972,7.99361e-15,2.51109e-15,3.77802e-21
0.9974,-3.55271e-15,1.38935e-15,2.08827e-21
0.9976,2.66454e-15,2.44008e-15,1.10075e-21
0.9978,-1.06581e-14,-3.22213e-15,5.48759e-22
0.998,-9.76996e-15,-1.43707e-15,2.56e-22
0.9982,-1.77636e-15,3.75944e-15,1.102e-22
0.9984,8.88178e-15,-1.71908e-15,4.29497e-23
0.9986,-1.68754e-14,-7.91157e-15,1.47579e-23
0.9988,-8.88178e-16,6.53453e-15,4.29982e-24
0.999,-2.66454e-15,2.46547e-15,1e-24
0.9992,1.77636e-15,4.81119e-15,1.67772e-25
0.9994,-1.77636e-15,5.19172e-15,1.67962e-26
0.9996,-1.77636e-15,-2.41986e-15,6.5536e-28
0.9998,-9.76996e-15,-1.75358e-15,2.56e-30
1,2.04281e-14,-1.33227e-15,2.30824e-120
1.0002,-2.66454e-15,4.44196e-16,2.56e-30
1.0004,5.32907e-15,3.4975e-15,6.5536e-28
1.0006,-1.24345e-14,3.69794e-15,1.67962e-26
1.0008,-1.59872e-14,-1.06686e-15,1.67772e-25
1.001,-1.68754e-14,-1.37079e-15,1e-24
1.0012,1.68754e-14,6.27256e-15,4.29982e-24
1.0014,3.55271e-15,-1.64687e-15,1.47579e-23
1.0016,7.99361e-15,-1.30803e-15,4.29497e-23
1.0018,-5.32907e-15,-5.17361e-16,1.102e-22
1.002,7.99361e-15,1.38068e-15,2.56e-22
1.0022,-1.06581e-14,4.46139e-15,5.48759e-22
1.0024,1.77636e-15,-4.61702e-15,1.10075e-21
1.0026,1.42109e-14,1.54359e-15,2.08827e-21
1.0028,1.15463e-14,1.34473e-17,3.77802e-21
1.003,8.88178e-16,-2.48877e-15,6.561e-21
1.0032,4.44089e-15,-2.01515e-15,1.09951e-20
1.0034,-7.10543e-15,8.99823e-16,1.78579e-20
1.0036,1.24345e-14,8.66224e-15,2.82111e-20
1.0038,6.21725e-15,2.51198e-15,4.34779e-20
1.004,-1.77636e-14,-5.92722e-15,6.5536e-20
1.0042,-3.55271e-15,-6.76388e-15,9.68265e-20
1.0044,1.06581e-14,-1.80271e-15,1.40482e-19
1.0046,-4.44089e-15,-2.69776e-15,2.00476e-19
1.0048,-2.66454e-15,-1.21469e-15,2.81793e-19
1.005,-1.24345e-14,3.30353e-15,3.90625e-19
1.0052,6.21725e-15,6.55074e-16,5.34597e-19
1.0054,9.76996e-15,-2.47516e-15,7.2302e-19
1.0056,6.21725e-15,2.72677e-15,9.67173e-19
1.0058,-8.88178e-15,-5.77296e-15,1.28063e-18
1.006,7.10543e-15,-2.63047e-15,1.67962e-18
1.0062,-1.33227e-14,-1.46664e-15,2.1834e-18
1.0064,1.59872e-14,7.51541e-15,2.81475e-18
1.0066,1.77636e-15,5.10328e-15,3.60041e-18
1.0068,4.44089e-15,2.92181e-15,4.57163e-18
1.007,-1.06581e-14,-9.57876e-16,5.7648e-18
1.0072,-1.77636e-15,-1.94104e-15,7.22204e-18
1.0074,-7.10543e-15,2.11247e-15,8.99195e-18
1.0076,7.10543e-15,2.01129e-15,1.11303e-17
1.0078,-6.21725e-15,7.9269e-16,1.37011e-17
1.008,7.10543e-15,4.45922e-17,1.67772e-17
1.0082,-4.44089e-15,-4.49819e-15,2.04414e-17
1.0084,-6.21725e-15,1.85728e-15,2.47876e-17
1.0086,1.59872e-14,1.01055e-15,2.99218e-17
1.0088,9.76996e-15,-1.10598e-15,3.59635e-17
1.009,6.21725e-15,-7.53046e-16,4.30467e-17
1.0092,5.32907e-15,-5.49906e-15,5.13219e-17
1.0094,-6.21725e-15,3.61021e-15,6.09569e-17
1.0096,2.66454e-15,-1.26442e-15,7.2139e-17
1.0098,-1.06581e-14,-5.26241e-15,8.50763e-17
1.01,-6.21725e-15,-3.85661e-15,1e-16
